Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SP1,Chrome 97.0.4692.99,,,2022-01-24 21:00:18,2022-01-24 21:02:18,2m - 0.265s,PASSED
,,,,,,,
Test Cases/TC01,Chrome 97.0.4692.99,,,2022-01-24 21:00:19,2022-01-24 21:00:25,5.564s,PASSED
"openBrowser("""")",Chrome 97.0.4692.99,,,2022-01-24 21:00:20,2022-01-24 21:00:23,2.945s,PASSED
"navigateToUrl(""demo.midtrans.com"")",Chrome 97.0.4692.99,,,2022-01-24 21:00:23,2022-01-24 21:00:24,1.249s,PASSED
"click(findTestObject(""Home/button_next""))",Chrome 97.0.4692.99,,,2022-01-24 21:00:24,2022-01-24 21:00:25,0.692s,PASSED
,,,,,,,
Test Cases/TC02,Chrome 97.0.4692.99,,,2022-01-24 21:00:25,2022-01-24 21:00:30,4.832s,PASSED
"openBrowser("""")",Chrome 97.0.4692.99,,,2022-01-24 21:00:26,2022-01-24 21:00:28,2.090s,PASSED
"navigateToUrl(""demo.midtrans.com"")",Chrome 97.0.4692.99,,,2022-01-24 21:00:28,2022-01-24 21:00:29,1.423s,PASSED
"click(findTestObject(""Home/button_buynow""), STOP_ON_FAILURE)",Chrome 97.0.4692.99,,,2022-01-24 21:00:29,2022-01-24 21:00:30,0.610s,PASSED
,,,,,,,
Test Cases/TC03,Chrome 97.0.4692.99,,,2022-01-24 21:00:30,2022-01-24 21:00:36,6.337s,PASSED
"openBrowser("""")",Chrome 97.0.4692.99,,,2022-01-24 21:00:30,2022-01-24 21:00:32,1.937s,PASSED
"navigateToUrl(""demo.midtrans.com"")",Chrome 97.0.4692.99,,,2022-01-24 21:00:32,2022-01-24 21:00:34,1.629s,PASSED
"click(findTestObject(""Home/button_buynow""))",Chrome 97.0.4692.99,,,2022-01-24 21:00:34,2022-01-24 21:00:35,0.807s,PASSED
"click(findTestObject(""ShoppingCart/button_cancel""))",Chrome 97.0.4692.99,,,2022-01-24 21:00:35,2022-01-24 21:00:35,0.582s,PASSED
